data    value
difference between maxes C  0.0
0 to 0.1 cenmet   0.44
0.1 to 0.2 cenmet   0.39
0.2 to 0.3 cenmet   0.13
0.3 to 0.4 cenmet   0.03
greater 0.4 cenmet  0.01
difference between mins C  0.0
0 to 0.1 cenmet 0.87
0.1 to 0.2 cenmet   0.09
0.2 to 0.3 cenmet   0.01
0.3 to 0.4 cenmet   0.03
greater 0.4 cenmet  0.01
